iter	Passed	Remaining
0	163	163142
1	165	82473
2	167	55535
3	168	42039
4	170	33942
5	172	28555
6	174	24691
7	175	21791
8	177	19534
9	179	17788
10	181	16313
11	183	15076
12	184	14024
13	186	13130
14	188	12347
15	189	11660
16	191	11065
17	193	10531
18	194	10049
19	196	9624
20	198	9233
21	199	8876
22	201	8547
23	202	8250
24	204	7980
25	206	7722
26	207	7491
27	209	7271
28	211	7071
29	212	6879
30	214	6700
31	216	6538
32	217	6381
33	219	6232
34	221	6093
35	222	5964
36	224	5841
37	226	5722
38	227	5612
39	229	5509
40	231	5404
41	232	5306
42	234	5214
43	235	5126
44	237	5043
45	239	4964
46	241	4889
47	242	4817
48	244	4744
49	246	4675
50	247	4608
51	249	4547
52	251	4484
53	252	4428
54	254	4370
55	256	4316
56	257	4260
57	259	4207
58	260	4158
59	262	4110
60	263	4062
61	265	4017
62	267	3975
63	268	3932
64	270	3891
65	272	3853
66	273	3815
67	274	3767
68	276	3729
69	278	3694
70	279	3660
71	281	3627
72	283	3596
73	285	3568
74	287	3545
75	289	3515
76	290	3485
77	292	3455
78	294	3428
79	296	3404
80	297	3374
81	299	3348
82	300	3323
83	302	3299
84	303	3267
85	305	3242
86	306	3213
87	307	3191
88	309	3169
89	311	3146
90	312	3124
91	314	3103
92	316	3082
93	317	3062
94	319	3043
95	321	3023
96	322	3003
97	324	2984
98	325	2966
99	327	2949
100	329	2932
101	330	2907
102	331	2889
103	333	2871
104	334	2855
105	336	2839
106	338	2823
107	340	2810
108	341	2794
109	343	2779
110	345	2763
111	346	2747
112	348	2734
113	349	2719
114	351	2707
115	353	2692
116	355	2679
117	356	2664
118	357	2648
119	359	2635
120	361	2622
121	362	2611
122	363	2592
123	365	2580
124	366	2567
125	368	2555
126	370	2544
127	371	2527
128	372	2516
129	374	2505
130	376	2494
131	377	2483
132	379	2474
133	381	2463
134	382	2451
135	384	2441
136	386	2433
137	387	2421
138	389	2414
139	392	2410
140	396	2415
141	399	2411
142	401	2403
143	402	2394
144	404	2386
