iter	Passed	Remaining
0	311	311572
1	319	159305
2	320	106606
3	322	80191
4	329	65589
5	332	55010
6	333	47324
7	334	41522
8	336	37015
9	337	33395
10	339	30515
11	346	28518
12	347	26390
13	349	24584
14	350	23009
15	351	21622
16	352	20406
17	354	19317
18	356	18422
19	362	17750
20	363	16948
21	365	16248
22	367	15615
23	369	15006
24	382	14900
25	383	14377
26	385	13885
27	386	13426
28	395	13251
29	397	12844
30	398	12453
31	399	12088
32	418	12255
33	422	11992
34	423	11677
35	424	11377
36	426	11091
37	427	10827
38	429	10595
39	431	10366
40	466	10902
41	468	10684
42	470	10477
43	473	10280
44	478	10158
45	482	10016
46	486	9855
47	488	9682
48	497	9651
49	499	9489
50	501	9340
51	506	9240
52	511	9143
53	513	8991
54	540	9287
55	547	9226
56	550	9113
57	571	9289
58	587	9364
59	593	9294
60	605	9316
61	607	9189
62	610	9076
63	618	9051
64	632	9097
65	633	8970
66	635	8846
67	639	8764
68	655	8839
69	668	8881
70	682	8925
71	714	9205
72	716	9100
73	734	9187
74	747	9223
75	752	9154
76	774	9282
77	781	9238
78	798	9306
79	805	9259
80	810	9195
81	825	9241
82	837	9253
83	853	9305
84	855	9213
85	857	9112
86	860	9028
87	883	9153
88	892	9133
89	904	9145
90	906	9053
91	908	8971
92	918	8953
93	922	8890
94	928	8843
95	930	8762
96	934	8696
97	937	8626
98	942	8577
99	945	8507
100	948	8444
101	1010	8897
102	1027	8946
103	1033	8905
104	1047	8931
105	1057	8915
106	1064	8885
107	1073	8863
108	1075	8794
109	1077	8716
110	1079	8644
111	1081	8574
112	1101	8643
113	1104	8584
114	1142	8789
115	1151	8776
116	1153	8703
117	1157	8654
118	1166	8632
119	1167	8561
120	1169	8498
121	1171	8430
122	1223	8726
123	1225	8658
124	1227	8589
125	1229	8529
126	1235	8494
127	1238	8434
128	1239	8370
129	1241	8307
130	1248	8280
131	1288	8470
132	1289	8405
133	1290	8342
134	1294	8296
135	1304	8290
136	1308	8244
137	1310	8187
138	1338	8288
139	1341	8243
140	1352	8237
141	1363	8241
142	1366	8187
143	1369	8142
144	1371	8086
145	1379	8070
146	1422	8252
147	1453	8369
148	1455	8314
149	1466	8309
150	1470	8268
151	1479	8251
152	1490	8248
153	1500	8240
154	1503	8194
155	1521	8230
156	1547	8307
157	1555	8289
158	1567	8288
159	1568	8236
160	1591	8291
161	1599	8273
162	1609	8263
163	1614	8228
164	1617	8186
165	1625	8166
166	1627	8120
167	1629	8071
168	1640	8067
169	1645	8034
170	1660	8050
171	1664	8015
172	1667	7969
173	1668	7922
174	1689	7965
175	1691	7918
176	1714	7973
177	1723	7957
178	1729	7934
179	1736	7909
180	1738	7864
181	1739	7818
182	1749	7812
183	1756	7790
184	1765	7776
185	1768	7738
186	1775	7719
187	1778	7681
188	1781	7644
189	1784	7609
190	1802	7633
191	1813	7629
192	1818	7603
193	1823	7574
194	1825	7535
195	1829	7506
196	1841	7504
197	1845	7473
198	1867	7516
199	1872	7488
200	1882	7484
201	1889	7463
202	1902	7471
203	1906	7438
204	1909	7405
205	1915	7384
206	1927	7384
207	1929	7347
208	1934	7322
209	1936	7286
210	1962	7338
211	1972	7333
212	1975	7299
213	1980	7273
214	1982	7239
215	2024	7349
216	2059	7430
217	2062	7397
218	2069	7379
219	2070	7342
220	2072	7306
221	2074	7269
222	2076	7236
223	2079	7204
224	2086	7185
225	2087	7150
226	2090	7119
227	2103	7124
228	2125	7155
229	2132	7140
230	2139	7123
231	2157	7141
232	2163	7121
233	2180	7138
234	2192	7136
235	2198	7117
236	2200	7085
237	2208	7069
238	2218	7064
239	2235	7080
240	2247	7077
241	2250	7050
242	2253	7018
243	2277	7057
244	2295	7073
245	2300	7049
246	2358	7189
247	2364	7169
248	2366	7137
249	2386	7159
250	2399	7160
251	2433	7224
252	2487	7343
253	2516	7390
254	2529	7390
255	2535	7369
256	2541	7347
257	2543	7314
258	2544	7281
259	2556	7275
260	2560	7249
261	2563	7221
262	2585	7246
263	2597	7241
264	2604	7224
265	2619	7229
266	2623	7201
267	2635	7199
268	2643	7183
269	2653	7175
270	2657	7148
271	2671	7150
272	2687	7155
273	2689	7126
274	2724	7183
275	2763	7248
276	2769	7228
277	2788	7242
278	2811	7266
279	2823	7261
280	2832	7247
281	2840	7232
282	2852	7228
283	2870	7236
284	2885	7239
285	2890	7215
286	2893	7189
287	2902	7174
288	2921	7186
289	2925	7163
290	2933	7146
291	2947	7146
292	2949	7116
293	2950	7085
294	2953	7058
295	2958	7035
296	2962	7012
297	2965	6985
298	2969	6961
299	2984	6964
300	2993	6951
301	2996	6926
302	3015	6935
303	3063	7012
304	3070	6996
305	3074	6973
306	3076	6943
307	3077	6915
308	3079	6886
309	3083	6863
310	3085	6835
311	3086	6806
312	3088	6777
313	3089	6749
314	3091	6722
315	3092	6694
316	3094	6667
317	3098	6644
318	3100	6618
319	3101	6591
320	3105	6568
321	3106	6541
322	3108	6515
323	3142	6556
324	3145	6533
325	3153	6520
326	3165	6514
327	3175	6505
328	3191	6509
329	3206	6509
330	3208	6485
331	3217	6474
332	3220	6450
333	3222	6426
334	3249	6451
335	3253	6428
336	3266	6426
337	3269	6403
338	3275	6386
339	3293	6393
340	3301	6379
341	3302	6354
342	3316	6351
343	3318	6328
344	3321	6306
345	3323	6281
346	3333	6272
347	3341	6260
348	3346	6241
349	3353	6227
350	3355	6203
351	3358	6183
352	3368	6173
353	3374	6157
354	3379	6140
355	3385	6124
356	3388	6103
357	3409	6113
358	3411	6090
359	3415	6072
360	3418	6051
361	3421	6030
362	3425	6011
363	3428	5989
364	3431	5969
365	3435	5950
366	3436	5927
367	3438	5904
368	3440	5882
369	3443	5863
370	3445	5842
371	3447	5820
372	3449	5798
373	3451	5776
374	3462	5771
375	3465	5750
376	3470	5735
377	3477	5721
378	3479	5702
379	3484	5685
380	3491	5672
381	3492	5650
382	3494	5629
383	3497	5610
384	3501	5593
385	3506	5578
386	3510	5560
387	3512	5539
388	3513	5519
389	3524	5513
390	3526	5492
391	3529	5474
392	3531	5454
393	3533	5434
394	3537	5418
395	3539	5398
396	3540	5378
397	3542	5358
398	3546	5341
399	3548	5322
400	3553	5308
401	3555	5288
402	3556	5268
403	3558	5249
404	3559	5229
405	3561	5210
406	3562	5190
407	3564	5171
408	3567	5155
409	3569	5136
410	3571	5117
411	3573	5099
412	3574	5081
413	3576	5062
414	3578	5044
415	3580	5026
416	3582	5008
417	3584	4990
418	3585	4972
419	3587	4953
420	3589	4936
421	3591	4919
422	3594	4903
423	3596	4886
424	3598	4868
425	3599	4850
426	3601	4832
427	3603	4815
428	3605	4799
429	3607	4782
430	3612	4768
431	3613	4751
432	3615	4734
433	3617	4717
434	3619	4700
435	3620	4683
436	3622	4667
437	3626	4653
438	3628	4636
439	3629	4619
440	3631	4602
441	3633	4586
442	3635	4570
443	3636	4553
444	3638	4537
445	3641	4522
446	3642	4506
447	3644	4490
448	3646	4474
449	3647	4458
450	3649	4442
451	3650	4426
